FileName,NetCDF_1,NetCDF_2,FileDescription,Units
ShriverPredictedMedianRelativeToHistoricalData_for_2024.tif,shriver_yr_gridSTDF_prediction.nc,shriver_yr_gridSTDF_historical.nc,"The difference in probability of sagebrush seeding success predicted by the Shriver et al., 2018 model based on conditions in the current year (the year that the simulation was run) compared to the mean predicted probability sagebrush seeding success  based on conditions during the normal period (1991-2020). The probability of success based on conditions in the current year is an average of predicted probabilities from 30 simulations. The value at the end of the file name indicates the year whose conditions are input into the model.  Value in grid cell = mean(P(success based on conditions in current year)_ simulation1, ..., P(success based on conditions in current year)_ simulation30) - meanP(success based on conditions from 1991-2020). ",Probability
ShriverPredictedMedianRelativeToHistoricalData_for_2025.tif,shriver_yr_gridSTDF_prediction.nc,shriver_yr_gridSTDF_historical.nc,"The difference in probability of sagebrush seeding success predicted by the Shriver et al., 2018 model based on conditions in the following year (the year after the year that the simulation was run) compared to the mean predicted probability sagebrush seeding success  based on conditions during the normal period (1991-2020). The probability of success based on conditions in the following year is an average of predicted probabilities from 30 simulations. The value at the end of the file name indicates the year whose conditions are input into the model.  Value in grid cell = mean(P(success based on conditions in following year)_ simulation1, ..., P(success based on conditions in following year)_ simulation30) - meanP(success based on conditions from 1991-2020). ",Probability
VWC_surface_prediction_FallMeans_for_2024.tif,vwc-shallow_dy_gridSTDF_median-prediction.nc,,"The mean of forecasted daily volumetric water content (vwc) in Shallow Soil Layers (0 - 15cm soil depth)  during Fall months (September - November) in the year when the forecast was run. The value at the end of the file name indicates the year that this this average ""Fall"" vwc corresponds to.. Note that the average is limited to the dates for which a forecast is generated -- for example, if a forecast is run in October, then the average of surface vwc for Fall of the current year would only include values for October and November (and exclude September). ",cm/cm
VWC_surface_prediction_FallMeans_for_2025.tif,vwc-shallow_dy_gridSTDF_median-prediction.nc,,"The mean of forecasted daily volumetric water content (vwc) in Shallow Soil Layers (0 - 15cm soil depth)  during Fall months (September - November) in the year following the year in which the forecast was run. The value at the end of the file name indicates the year that this this average ""Fall"" vwc corresponds to.",cm/cm
VWC_surface_predictionDiffFromNormalPeriod_Fall_for_2024.tif,vwc-shallow_dy_gridSTDF_median-prediction.nc,,"The mean across Fall months (September - November) of the daily difference between forecasted daily volumetric water content (vwc) in Shallow Soil Layers (0 - 15cm soil depth) in the current year and mean daily vwc during the normal period. The value at the end of the file name indicates the year that this this comparison of ""Fall"" vwc corresponds to.  Value in a grid cell = mean((forecastedVwc_CurrentYearday1 - normalPeriodVwc_CurrentYearday1), (forecastedVwc_CurrentYearDay2 - normalPeriodVwc_CurrentYearday2),...,(forecastedVwc_Day90 - normalPeriodVwc_day90)",cm/cm
VWC_surface_predictionDiffFromNormalPeriod_Fall_for_2025.tif,vwc-shallow_dy_gridSTDF_median-prediction.nc,,"The mean across Fall months (September - November) of the daily difference between forecasted daily volumetric water content (vwc) in Shallow Soil Layers (0 - 15cm soil depth) in the next year and mean daily vwc during the normal period. The value at the end of the file name indicates the year that this this comparison of ""Fall"" vwc corresponds to.  Value in a grid cell = mean((forecastedVwc_NextYearday1 - normalPeriodVwc_NextYearday1), (forecastedVwc_NextYearDay2 - normalPeriodVwc_NextYearday2),...,(forecastedVwc_Day90 - normalPeriodVwc_day90)",cm/cm
VWC_surface_prediction_growingSeasonMeans_for_2024.tif,vwc-shallow_dy_gridSTDF_median-prediction.nc,,"The mean of forecasted daily volumetric water content (vwc) in Shallow Soil Layers (0 - 15cm soil depth)  during growigng season months (May - September) in the year when the forecast was run. The value at the end of the file name indicates the year that this this average ""growing season"" vwc corresponds to. Note that the average is limited to the dates for which a forecast is generated -- for example, if a forecast is run in September, then the average of surface vwc for the growing season of the current year would only include values for September. ",cm/cm
VWC_surface_prediction_growingSeasonMeans_for_2025.tif,vwc-shallow_dy_gridSTDF_median-prediction.nc,,"The mean of forecasted daily volumetric water content (vwc) in Shallow Soil Layers (0 - 15cm soil depth)  during growigng season months (May - September) in the year following the year in which the forecast was run. The value at the end of the file name indicates the year that this this average ""growing season"" vwc corresponds to.",cm/cm
VWC_surface_predictionDiffFromNormalPeriod_growingSeason_for_2024.tif,vwc-shallow_dy_gridSTDF_median-diffs-prediction.nc,,"The mean across growing season months (May-September) of the daily difference between forecasted daily volumetric water content (vwc) in Shallow Soil Layers (0 - 15cm soil depth) in the current year and mean daily vwc during the normal period. The value at the end of the file name indicates the year that this this comparison of ""growing season"" vwc corresponds to.  Value in a grid cell = mean((forecastedVwc_CurrentYearday1 - normalPeriodVwc_CurrentYearday1), (forecastedVwc_CurrentYearDay2 - normalPeriodVwc_CurrentYearday2),...,(forecastedVwc_Day90 - normalPeriodVwc_day90)",cm/cm
VWC_surface_predictionDiffFromNormalPeriod_growingSeason_for_2025.tif,vwc-shallow_dy_gridSTDF_median-diffs-prediction.nc,,"The mean across growing season months (May-September) of the daily difference between forecasted daily volumetric water content (vwc) in Shallow Soil Layers (0 - 15cm soil depth) in the next year and mean daily vwc during the normal period. The value at the end of the file name indicates the year that this this comparison of ""growing season"" vwc corresponds to.  Value in a grid cell = mean((forecastedVwc_NextYearday1 - normalPeriodVwc_NextYearday1), (forecastedVwc_NextYearDay2 - normalPeriodVwc_NextYearday2),...,(forecastedVwc_Day90 - normalPeriodVwc_day90)",cm/cm
